annee;date;arbre;cultivar;nbfruit;masse
2010;31/01/2011;J14;Cogshall;4;1847
2010;07/02/2011;J14;Cogshall;1;443,7
2010;29/11/2010;J4;Cogshall;9;2609
2010;03/12/2010;J4;Cogshall;1;255
2010;06/12/2010;J4;Cogshall;1;368,7
2010;09/12/2010;J4;Cogshall;2;448,8
2010;13/12/2010;J4;Cogshall;3;783,4
2010;16/12/2010;J4;Cogshall;3;1056,8
2010;21/12/2010;J4;Cogshall;6;1969,2
2010;21/12/2010;J4;Cogshall;5;1681,2
2010;23/12/2010;J4;Cogshall;4;1507,1
2010;27/12/2010;J4;Cogshall;18;5816
2010;30/12/2010;J4;Cogshall;2;768,2
2010;04/01/2011;J4;Cogshall;1;186,1
2010;14/01/2011;J4;Cogshall;2;805
2010;18/01/2011;J4;Cogshall;3;895,7
2010;25/01/2011;J4;Cogshall;1;293,1
2010;31/01/2011;J4;Cogshall;2;1039
2010;03/02/2011;J4;Cogshall;1;513
2010;07/02/2011;J4;Cogshall;1;440,2
2010;15/02/2011;J4;Cogshall;1;532
2010;06/12/2010;B12;Heidi;4;900
2010;14/01/2011;B12;Heidi;2;581,9
2010;18/01/2011;B12;Heidi;4;1325
2010;25/01/2011;B12;Heidi;1;435,1
2010;31/01/2011;B12;Heidi;2;621
2010;03/02/2011;B12;Heidi;6;2081,3
2010;10/02/2011;B12;Heidi;1;431,6
2010;15/02/2011;B12;Heidi;10;3831
2010;18/02/2011;B12;Heidi;4;1380
2010;22/02/2011;B12;Heidi;5;2538,3
2010;25/02/2011;B12;Heidi;6;2312,5
2010;01/03/2011;B12;Heidi;12;5186
2010;04/03/2011;B12;Heidi;23;10335,5
2010;08/03/2011;B12;Heidi;15;6134,2
2010;11/03/2011;B12;Heidi;17;7171,2
2010;15/03/2011;B12;Heidi;7;4362,5
2010;21/03/2011;B12;Heidi;4;1450
2010;24/03/2011;B12;Heidi;2;915
2010;21/12/2010;C11;Heidi;9;2271,4
2010;30/12/2010;C11;Heidi;1;355,6
2010;04/01/2011;C11;Heidi;1;333,7
2010;11/01/2011;C11;Heidi;1;316,1
2010;18/01/2011;C11;Heidi;2;801,2
2010;21/01/2011;C11;Heidi;5;1668,7
2010;25/01/2011;C11;Heidi;6;2464
2010;31/01/2011;C11;Heidi;9;3617
2010;03/02/2011;C11;Heidi;3;1312,8
2010;07/02/2011;C11;Heidi;2;698,2
2010;10/02/2011;C11;Heidi;2;850,6
2010;15/02/2011;C11;Heidi;9;3927
2010;18/02/2011;C11;Heidi;3;1607
2010;22/02/2011;C11;Heidi;7;3012,2
2010;25/02/2011;C11;Heidi;17;7005,3
2010;01/03/2011;C11;Heidi;17;6530,8
2010;04/03/2011;C11;Heidi;4;1915,4
2010;08/03/2011;C11;Heidi;2;1122,2
2010;11/03/2011;C11;Heidi;4;2221,3
2010;15/03/2011;C11;Heidi;2;802,7
2010;17/03/2011;C11;Heidi;1;637
2010;21/12/2010;D13;Heidi;28;9080,7
2010;23/12/2010;D13;Heidi;2;332,2
2010;04/01/2011;D13;Heidi;4;1296,8
2010;07/01/2011;D13;Heidi;2;726,4
2010;11/01/2011;D13;Heidi;3;1643,4
2010;14/01/2011;D13;Heidi;3;1190,7
2010;21/01/2011;D13;Heidi;1;297,9
2010;25/01/2011;D13;Heidi;2;846,9
2010;31/01/2011;D13;Heidi;23;9458
2010;03/02/2011;D13;Heidi;4;1386,2
2010;07/02/2011;D13;Heidi;9;3506
2010;10/02/2011;D13;Heidi;9;3682,2
2010;15/02/2011;D13;Heidi;20;9014
2010;18/02/2011;D13;Heidi;11;4945
2010;22/02/2011;D13;Heidi;13;6268,2
2010;25/02/2011;D13;Heidi;19;8450
2010;01/03/2011;D13;Heidi;16;7933,1
2010;04/03/2011;D13;Heidi;16;7679,6
2010;08/03/2011;D13;Heidi;14;7450,6
2010;11/03/2011;D13;Heidi;6;2114,5
2010;15/03/2011;D13;Heidi;2;966,3
2010;23/12/2010;D5;Heidi;1;208
2010;30/12/2010;D5;Heidi;8;2960,4
2010;04/01/2011;D5;Heidi;3;1108,8
2010;07/01/2011;D5;Heidi;11;3660,3
2010;11/01/2011;D5;Heidi;5;1813,8
2010;14/01/2011;D5;Heidi;2;596,8
2010;18/01/2011;D5;Heidi;5;1903,9
2010;21/01/2011;D5;Heidi;4;1895
2010;25/01/2011;D5;Heidi;7;2414,1
2010;31/01/2011;D5;Heidi;55;18183
2010;03/02/2011;D5;Heidi;7;2658,5
2010;07/02/2011;D5;Heidi;5;2100,4
2010;10/02/2011;D5;Heidi;5;2195,8
2010;15/02/2011;D5;Heidi;19;6963,4
2010;18/02/2011;D5;Heidi;14;6150
2010;22/02/2011;D5;Heidi;8;3490,8
2010;25/02/2011;D5;Heidi;11;3314,1
2010;01/03/2011;D5;Heidi;7;2779,5
2010;04/03/2011;D5;Heidi;21;9259,3
2010;08/03/2011;D5;Heidi;6;2894,2
2010;11/03/2011;D5;Heidi;10;5203,1
2010;15/03/2011;D5;Heidi;2;1041
2010;21/03/2011;D5;Heidi;6;2870
2010;27/12/2010;D9;Heidi;6;1188
2010;30/12/2010;D9;Heidi;1;222
2010;18/01/2011;D9;Heidi;2;502
2010;21/01/2011;D9;Heidi;2;512,4
2010;25/01/2011;D9;Heidi;4;1388,8
2010;31/01/2011;D9;Heidi;28;8551
2010;03/02/2011;D9;Heidi;2;881
2010;07/02/2011;D9;Heidi;5;1500,3
2010;10/02/2011;D9;Heidi;3;1442,4
2010;15/02/2011;D9;Heidi;12;4348
2010;18/02/2011;D9;Heidi;5;2135
2010;22/02/2011;D9;Heidi;8;3439,5
